account_id,customer_id,account_type,balance,created_at
84,3043,savings,48392.48,2025-05-22 09:45:43.460422
85,168,checking,14219.67,2024-02-11 11:30:46.130781
86,3746,checking,10822.6,2025-10-03 07:59:18.248499
87,366,savings,21670.89,2024-07-17 09:42:15.951111
88,650,checking,21514.04,2024-01-06 05:31:34.468681
89,4307,savings,42720.09,2024-08-01 15:21:44.793830
90,2783,savings,39305.47,2025-11-13 14:47:07.174272
91,4848,savings,41433.46,2025-10-25 12:02:12.662385
92,4744,savings,3399.42,2024-10-04 03:13:22.282857
93,2312,checking,36693.64,2024-12-18 15:57:07.675634
94,2199,checking,29797.21,2024-05-19 11:17:26.851990
95,2190,savings,35442.67,2023-09-13 18:15:12.789791
96,2833,checking,17546.54,2025-08-03 03:53:06.129451
97,4908,savings,33761.41,2024-05-05 13:39:41.667893
98,158,checking,5785.58,2025-06-03 22:37:59.909572
99,3067,checking,41385.96,2026-02-27 23:40:56.631954
100,4920,checking,40427.67,2024-03-27 01:08:51.150392
101,2202,checking,95.39,2023-08-02 14:28:08.726473
102,3202,savings,21435.92,2025-07-27 20:31:48.926159
103,4831,savings,49099.69,2025-07-08 04:40:12.967507
104,3276,checking,24131.16,2024-07-21 13:45:46.463541
105,492,savings,26701.76,2024-12-15 20:09:57.418236
106,1372,savings,36557.23,2023-07-13 09:04:12.078065
107,409,checking,24244.82,2023-11-15 14:45:03.379326
108,3340,checking,45319.74,2024-08-23 13:44:45.179695
109,4390,savings,39721.97,2024-11-09 23:02:50.233773
110,4522,checking,49082.98,2023-10-28 02:24:51.586939
111,4739,savings,16015.01,2023-11-29 17:14:45.667034
112,151,savings,33705.74,2024-09-11 02:31:45.262333
113,2198,checking,1508.24,2023-07-23 08:27:05.889459
114,2817,checking,46339.88,2025-05-24 10:14:16.672771
115,36,savings,34195.47,2023-10-21 01:46:03.390367
116,695,checking,33971.1,2026-04-03 05:25:49.494593
117,3197,checking,42294.52,2024-02-03 14:08:20.934975
118,3511,checking,21980.98,2024-04-02 04:15:43.227753
119,2819,checking,47341.89,2023-11-03 12:16:25.490197
120,956,savings,24520.5,2023-10-11 10:10:40.816317
121,3753,savings,17695.08,2023-12-24 10:32:29.092899
122,2609,checking,17410.16,2024-06-19 18:05:41.063376
123,4908,savings,18898.69,2023-10-02 10:56:52.486865
124,4676,checking,43765.58,2024-06-02 15:49:17.944615
125,3488,checking,43024.47,2025-11-01 16:43:48.318385
126,2029,checking,36193.57,2026-01-26 14:16:02.874937
127,2814,savings,9366.31,2023-08-25 17:11:57.227878
128,4081,savings,44773.02,2024-05-20 12:13:49.081442
129,3377,checking,20704.41,2025-10-26 16:57:10.152295
130,2614,checking,41128.45,2024-01-30 09:22:21.362005
131,98,savings,33115.23,2024-03-01 19:26:59.345591
132,1380,checking,10647.83,2026-01-07 08:59:58.316561
133,1534,checking,14707.75,2026-02-21 06:18:37.142323
134,71,checking,1058.77,2023-12-21 16:56:02.676561
135,567,savings,44752.8,2024-01-12 08:04:44.459084
136,529,savings,7244.08,2024-12-18 14:23:46.957551
137,4564,checking,21045.7,2023-07-03 12:51:04.854982
138,662,savings,27337.65,2026-05-09 22:51:23.883546
139,978,checking,39423.96,2025-12-14 16:03:58.357266
140,186,savings,43985.57,2023-11-23 20:48:59.670531
141,433,checking,31251.05,2024-10-18 05:16:49.262396
142,2004,savings,9537.41,2023-08-30 21:46:58.076603
143,1896,savings,38430.17,2024-03-07 15:53:29.414667
144,2614,checking,37482.87,2023-11-13 18:49:18.079318
145,2207,checking,42617.75,2026-03-05 16:19:40.669241
146,3740,checking,2491.59,2025-08-29 10:18:02.284319
147,3458,savings,47031.18,2025-09-21 18:23:08.483772
148,2979,checking,23065.65,2024-05-16 23:46:16.937108
149,169,checking,26153.68,2024-05-10 05:30:39.901366
150,1949,checking,44205.48,2023-08-26 10:05:05.506728
151,1581,checking,19044.31,2025-11-21 14:38:10.731785
152,693,savings,16548.35,2025-01-01 15:11:45.457103
153,4567,checking,44292.02,2025-11-03 07:51:00.923434
154,2950,savings,47771.4,2025-10-28 03:58:06.433240
155,3438,savings,14789.29,2023-08-01 01:25:47.497018
156,557,checking,47885.84,2024-01-30 15:21:49.288502
157,4709,checking,28544.81,2025-04-26 01:40:18.178732
158,3166,savings,7760.55,2024-05-31 11:10:14.158489
159,2478,checking,35884.29,2023-12-12 10:23:01.747870
160,4878,savings,7223.65,2025-08-23 18:19:28.725180
161,1886,checking,1685.56,2025-03-08 18:56:56.080541
162,3015,checking,15405.22,2023-07-07 03:32:13.520175
163,4737,savings,23094.16,2025-12-24 14:27:49.833691
164,1603,checking,27432.75,2025-08-04 06:15:13.459690
165,834,savings,26942.42,2024-02-25 18:32:58.386717
166,4458,savings,44471.2,2025-05-13 08:45:15.674363
167,3743,savings,42796.73,2025-12-19 02:48:08.804074
168,3989,checking,9480.19,2024-06-21 15:04:30.684020
169,1413,savings,42887.9,2023-07-05 02:59:43.689173
170,861,checking,23675.07,2025-10-11 06:52:16.276015
171,1520,savings,35078.5,2023-09-21 19:53:27.656566
172,2907,savings,43795.78,2025-05-16 20:54:39.219864
173,4169,savings,44231.62,2025-02-13 10:31:19.435638
174,353,savings,35925.77,2025-03-29 03:57:20.431938
175,337,checking,16952.13,2025-02-13 18:13:33.969620
176,3456,savings,36822.24,2025-07-18 16:01:21.921407
177,3294,checking,44511.92,2024-11-16 09:13:31.143403
178,2539,savings,10910.22,2025-10-31 13:40:13.352077
179,3729,savings,17366.5,2025-06-21 20:25:48.513374
180,3675,savings,19064.01,2025-09-27 06:56:42.768865
181,3318,savings,2587.08,2024-04-01 15:37:41.980654
182,48,savings,23459.91,2023-10-14 17:52:13.483610
183,2536,savings,18599.86,2023-07-20 05:42:08.173094
184,157,checking,33692.53,2024-12-01 17:36:54.853002
185,2233,checking,1734.47,2023-11-15 11:02:23.395069
186,1550,savings,41470.89,2026-04-28 03:19:04.268493
187,4740,savings,47.02,2026-01-28 12:28:58.934158
188,460,savings,14122.13,2025-06-17 22:52:17.729606
189,2193,checking,12255.83,2024-11-24 13:50:57.935705
190,1520,checking,37342.49,2023-11-30 15:42:00.760892
191,158,savings,45033.53,2024-11-27 17:41:37.467344
192,4970,checking,10713.98,2025-07-20 11:26:41.094203
193,2656,checking,4596.39,2025-05-23 06:37:44.298418
194,2952,savings,37203.76,2024-01-29 05:07:34.296951
195,1123,checking,144.82,2025-08-11 14:31:59.501680
196,216,checking,39481.01,2024-09-11 01:37:50.086688
197,2957,checking,40193.73,2023-07-27 08:34:16.481992
198,4173,checking,2911.11,2025-06-28 22:01:41.883957
199,2027,savings,43033.19,2025-03-17 03:54:08.669357
200,3602,savings,46751.35,2025-02-04 06:03:17.063759
201,1223,savings,49373.45,2026-01-05 21:14:01.328459
202,3764,savings,14002.73,2025-04-07 14:51:45.608454
203,4305,savings,46597.13,2026-04-29 00:40:01.347298
204,2424,checking,14108.99,2023-10-05 10:49:16.096744
205,383,savings,7824.31,2025-11-24 06:13:26.219721
206,1971,checking,31363.3,2024-12-28 14:19:09.343992
207,4474,checking,8547.78,2024-07-30 08:25:13.056641
208,4690,savings,18202.38,2024-12-16 17:15:32.552814
209,3005,savings,47412.42,2025-11-13 07:02:44.873135
210,2362,checking,31704.95,2026-01-10 18:18:21.634482
211,1616,checking,42909.78,2025-08-10 19:56:27.353605
212,521,savings,28801.64,2025-11-16 18:29:51.288339
213,3628,checking,38891.08,2024-12-19 15:36:24.882297
214,1544,savings,31664.19,2024-02-24 09:43:31.191993
215,3502,savings,18570.7,2026-06-11 14:14:56.677276
216,1610,checking,34984.01,2025-08-25 10:41:28.173887
217,221,checking,8763.36,2025-05-16 16:43:26.880786
218,4695,checking,43834.38,2025-04-17 16:05:23.940139
219,978,savings,47788.12,2025-08-24 12:43:58.771917
220,2098,checking,1196.91,2024-09-17 05:30:38.233248
221,4853,checking,1743.94,2026-04-07 22:48:48.049786
222,2812,savings,18852.54,2026-03-10 16:19:35.055290
223,4418,savings,20738.7,2024-03-30 12:23:36.405849
224,3484,savings,45947.48,2024-10-06 11:32:57.628176
225,4005,checking,14725.26,2024-05-22 07:55:48.043504
226,1501,checking,47224.11,2024-04-18 20:11:09.495165
227,8,checking,35947.02,2026-01-13 14:52:12.702021
228,3961,checking,49159.83,2024-05-10 22:41:35.570124
229,1348,savings,14494.22,2026-05-18 23:02:41.176965
230,860,checking,2254.65,2025-12-18 13:07:23.037237
231,4159,checking,11795.39,2024-11-02 07:16:16.607988
232,391,checking,48057.37,2024-02-07 00:22:17.365417
233,1033,checking,6157.98,2025-05-24 22:37:06.297327
234,2486,savings,45416.66,2024-03-08 13:32:26.645712
235,1445,checking,15848.38,2023-09-28 12:22:23.696334
236,4469,savings,30323.31,2024-08-15 20:28:04.960994
237,2858,savings,43775.25,2026-04-10 08:56:39.152746
238,3709,savings,18567.29,2026-04-19 12:08:57.094837
239,2565,savings,45996.26,2024-08-15 11:47:53.000165
240,139,savings,5069.6,2025-02-17 08:15:17.539228
241,3016,savings,35997.97,2023-08-16 21:27:50.552914
242,4486,savings,15111.04,2025-06-03 23:53:31.772366
243,3025,checking,48266.01,2024-12-25 15:58:51.527307
244,4410,savings,43211.7,2024-07-18 18:31:16.725800
245,171,checking,7836.2,2025-02-12 21:45:50.629730
246,4435,savings,41532.06,2025-12-13 14:49:13.511154
247,4409,savings,18199.23,2024-02-06 20:05:30.359705
248,2397,savings,18320.82,2024-11-19 15:39:28.628473
249,1152,checking,30955.79,2025-05-29 06:37:56.082242
250,4604,checking,42061.31,2025-12-27 15:43:11.532243
251,3597,savings,42774.51,2025-08-15 13:14:04.817150
252,1796,savings,43362.3,2025-08-10 06:43:39.394629
253,596,checking,12246.96,2023-11-29 16:14:37.381554
254,2718,savings,13433.16,2025-10-11 12:00:50.611286
255,3498,checking,19219.87,2024-01-22 12:03:41.469292
256,375,savings,42872.2,2026-06-05 18:46:15.298055
257,1431,checking,45496.19,2024-06-04 18:37:42.738566
258,246,checking,3726.99,2024-04-27 08:55:07.870990
259,3413,savings,15765.71,2024-11-04 02:43:02.327287
260,4009,savings,15293.37,2024-03-19 21:37:36.903759
261,2874,checking,22933.7,2023-09-07 16:53:02.362945
262,4007,savings,43066.17,2025-06-22 01:23:46.257931
263,131,checking,37193.77,2023-07-07 22:59:08.493757
264,2409,savings,41057.37,2024-12-25 03:31:13.152277
265,297,savings,2407.9,2023-10-28 09:14:52.125239
266,3809,savings,32918.86,2023-11-28 23:38:03.419582
267,4429,savings,25292.78,2026-04-04 23:47:41.793876
268,4815,checking,15156.32,2026-05-10 11:19:29.516125
269,3333,savings,32958.83,2024-04-02 20:35:20.432485
270,4484,checking,29145.12,2024-03-30 06:57:26.184800
271,1042,checking,26430.51,2025-02-10 17:22:32.164500
272,2512,savings,6021.68,2024-12-09 16:44:17.873357
273,4893,checking,3509.46,2026-01-07 06:50:26.475437
274,4835,savings,38413.96,2024-05-10 12:09:32.552922
275,1679,savings,45777.35,2025-02-27 15:03:28.344244
276,1386,savings,29886.06,2024-03-03 20:46:20.847593
277,2177,savings,29155.61,2026-06-01 15:56:07.062734
278,1122,savings,24118.94,2026-03-07 11:48:55.043428
279,4090,checking,17509.21,2025-02-24 00:49:31.221574
280,1380,savings,9152.8,2025-04-04 04:40:12.941594
281,1469,savings,42674.62,2023-11-01 05:36:43.972349
282,1205,checking,22877.47,2025-09-18 04:05:59.616806
283,1704,checking,46762.78,2023-08-19 08:06:02.940243
284,3222,savings,12420.2,2025-09-30 19:34:18.409393
285,26,checking,40611.81,2025-10-20 03:58:19.755157
286,1563,checking,26027.95,2023-12-30 03:39:24.208800
287,1334,savings,5019.04,2024-09-13 03:57:15.304229
288,233,savings,13001.71,2025-06-04 12:02:46.025543
289,2562,checking,26299.88,2025-04-22 02:38:38.402545
290,3329,savings,28409.74,2025-10-20 10:42:31.541483
291,1734,savings,45542.43,2026-05-16 08:27:36.750857
292,3340,checking,37616.75,2023-06-17 06:59:36.919266
293,4209,savings,32087.01,2025-01-01 01:14:37.535077
294,862,checking,14309.9,2024-08-19 13:05:20.407283
295,2894,checking,49867.77,2023-12-11 07:43:05.521963
296,4602,checking,45951.7,2025-01-01 17:22:57.827303
297,1509,checking,7293.65,2023-12-23 20:09:48.250177
298,4149,savings,28532.39,2023-11-29 18:19:27.554143
299,1020,savings,12126.12,2024-01-08 02:08:22.838611
300,4706,savings,29444.75,2023-10-03 00:48:43.619464
301,4777,checking,28536.32,2024-08-07 12:26:41.967489
302,2830,checking,39187.21,2025-10-12 16:51:51.191813
303,3424,checking,27890.36,2023-11-17 12:48:34.057818
304,4662,savings,9751.42,2024-08-27 07:32:13.577670
305,709,savings,36520.26,2023-11-08 11:15:29.105830
306,4374,savings,29065.64,2024-06-10 16:12:08.556873
307,1328,checking,21054.19,2025-09-09 03:09:44.546409
308,2727,savings,22338.66,2026-01-11 22:46:32.250155
309,1817,savings,49967.45,2026-04-24 15:17:31.620163
310,385,savings,42082.96,2026-05-07 08:42:34.277516
311,847,savings,39233.38,2025-08-09 18:44:52.726891
312,716,savings,3796.24,2025-07-30 06:07:20.226521
313,1137,checking,2853.8,2024-11-29 05:43:10.970664
314,4851,savings,36899.22,2024-10-06 13:42:41.847153
315,163,checking,609.2,2025-09-21 22:48:00.830502
316,2097,checking,30277.76,2023-06-14 08:36:02.209518
317,2921,checking,40501.23,2023-10-09 23:58:23.906002
318,2131,checking,11272.11,2024-08-20 09:58:21.131411
319,4227,checking,25497.22,2024-02-16 13:55:37.249058
320,3450,checking,2796.18,2024-02-01 16:33:01.446396
321,2896,checking,39733.51,2023-12-12 01:58:47.776250
322,1676,savings,23353.63,2024-10-21 19:11:40.787596
323,3646,checking,25692.49,2024-06-26 23:45:43.455912
324,4781,savings,23097.37,2025-01-11 05:39:10.796752
325,701,checking,48587.94,2024-07-25 19:23:23.438099
326,4785,checking,22237.59,2024-11-23 04:00:39.318451
327,1485,checking,31859.39,2023-07-05 21:16:20.616795
328,3623,savings,9546.93,2024-08-15 10:47:55.192495
329,1245,savings,37734.21,2023-11-24 16:36:50.624033
330,2807,savings,31219.37,2023-08-16 08:47:19.713278
331,2573,checking,49474.37,2023-11-11 23:08:56.068045
332,2752,checking,11604.24,2023-07-13 04:18:25.225123
333,2950,savings,8555.79,2026-06-11 08:13:59.312958
334,2855,savings,41729.7,2026-05-03 10:54:28.714296
335,2485,checking,25274.2,2024-10-25 21:40:53.408695
336,2052,checking,40337.69,2024-07-26 09:43:13.606178
337,323,savings,19475.25,2026-04-26 19:21:34.272295
338,245,savings,36710.69,2023-11-18 05:29:29.082089
339,3098,savings,26191.11,2025-10-08 07:21:40.715834
340,4566,savings,745.69,2024-08-20 21:30:18.059812
341,1230,checking,33845.43,2023-06-29 15:49:24.236892
342,4031,checking,9129.48,2025-05-20 10:48:49.634702
343,4808,savings,907.82,2023-08-01 05:22:04.134259
344,3202,checking,31613.99,2024-11-18 16:05:04.296484
345,3769,checking,32792.37,2024-05-23 00:37:04.217622
346,3998,checking,1918.8,2026-06-05 22:24:42.025416
347,3985,checking,3044.97,2026-02-21 14:00:20.049871
348,4932,savings,32699.99,2025-08-01 01:52:04.465324
349,2178,savings,17959.0,2023-09-28 09:59:49.996967
350,2679,checking,43214.41,2023-12-20 18:22:54.803392
351,1360,checking,7971.17,2023-10-26 21:06:44.752024
352,717,savings,20417.24,2023-12-10 17:32:13.435528
353,4546,checking,46981.34,2026-06-06 16:16:42.385338
354,1594,savings,26621.06,2023-10-18 02:24:52.477627
355,2556,savings,48041.58,2024-03-18 06:52:26.352985
356,3709,savings,8540.29,2024-12-01 02:30:42.438006
357,3421,savings,36446.7,2023-10-29 05:53:03.966376
358,759,savings,12533.9,2026-06-10 04:59:30.736919
359,1485,savings,34038.8,2024-10-08 00:33:06.001484
360,127,savings,20354.41,2026-01-10 19:28:24.189164
361,1026,checking,37496.1,2026-04-09 19:23:52.908228
362,2579,checking,38597.1,2025-01-14 07:47:54.429459
363,2439,checking,6789.41,2023-10-08 11:14:36.540030
364,1918,savings,958.59,2026-04-08 02:54:47.543927
365,3656,savings,15660.66,2024-10-07 00:10:45.424282
366,1572,savings,23454.84,2024-08-30 04:52:08.170782
367,723,savings,34542.53,2025-04-24 09:34:36.048120
368,3962,savings,45565.44,2023-07-17 10:13:31.811113
369,2696,savings,41897.39,2024-05-11 23:13:11.444027
370,2496,checking,44918.03,2025-07-09 10:07:24.210313
371,3372,savings,44790.48,2024-03-02 07:19:29.893143
372,166,checking,15283.47,2024-08-08 22:37:59.800277
373,1046,savings,1229.24,2023-10-04 17:27:13.415809
374,2096,savings,36766.18,2023-12-21 08:20:34.959966
375,4225,checking,25918.15,2024-06-04 07:43:21.736184
376,146,checking,44174.71,2026-06-05 01:45:05.977076
377,3226,checking,49833.17,2026-05-24 17:06:20.000191
378,2760,checking,29734.12,2025-06-17 01:49:42.365865
379,2077,savings,20253.14,2026-02-14 19:43:26.224825
380,1804,checking,22699.33,2026-02-18 03:32:05.947475
381,3892,savings,6195.46,2025-05-06 21:30:40.795377
382,3302,checking,813.11,2024-01-15 23:54:12.342963
383,2971,savings,28853.84,2025-04-09 13:07:08.635746
384,1099,savings,40118.75,2025-03-28 06:39:39.003316
385,1149,savings,24543.92,2024-03-08 07:12:05.124190
386,4998,checking,37382.33,2023-11-17 11:13:18.811629
387,3185,checking,6922.72,2025-11-01 10:16:09.635325
388,4855,checking,6944.9,2023-10-15 17:02:37.848444
389,717,checking,18361.27,2025-05-07 15:04:40.497730
390,3815,checking,22186.17,2024-01-13 21:33:36.213341
391,2241,checking,24145.11,2025-01-16 22:23:40.903470
392,2506,checking,39864.13,2026-03-09 03:46:02.435131
393,3850,checking,27040.64,2024-08-05 00:49:17.522611
394,1617,checking,24172.89,2026-01-01 01:24:31.763570
395,3297,checking,20174.86,2023-11-05 16:50:46.216508
396,2266,savings,13056.73,2025-04-22 01:18:09.206334
397,2669,savings,13129.36,2023-11-01 21:03:01.513597
398,4451,checking,26093.68,2025-11-12 16:13:22.293727
399,4125,savings,46992.98,2024-11-20 08:53:32.288866
400,3864,checking,21629.35,2023-09-23 04:21:02.536119
401,3119,checking,34181.5,2025-10-04 13:41:08.915812
402,874,checking,4277.11,2024-03-16 12:59:15.279392
403,3135,savings,1948.41,2025-01-03 01:21:08.420133
404,1791,savings,7607.32,2024-07-11 01:23:34.749483
405,3946,checking,33886.62,2025-11-28 05:57:31.466598
406,2919,savings,25481.0,2024-07-11 21:48:39.789242
407,1971,savings,39595.4,2024-12-24 22:43:42.581894
408,4908,checking,27147.96,2025-04-04 12:53:41.658401
409,4793,checking,29420.47,2023-09-26 10:44:59.811709
410,3480,checking,24956.69,2023-07-19 14:53:26.353080
411,1130,checking,22215.09,2024-11-09 05:07:54.513532
412,2144,savings,4648.43,2024-05-05 15:01:36.726875
413,3660,savings,48154.39,2026-02-06 03:07:13.595218
414,2020,savings,45654.9,2025-12-23 01:06:22.810535
415,4696,savings,16145.38,2025-01-25 20:07:35.517414
416,3431,checking,30121.23,2024-01-26 14:10:41.417223
417,1539,savings,30728.8,2026-04-22 11:51:37.936528
418,51,savings,42323.79,2026-02-06 09:25:39.536177
419,4995,savings,42079.04,2023-10-15 22:55:23.405672
420,4454,savings,37710.75,2025-06-14 09:20:33.650448
421,2764,checking,33572.01,2023-09-15 23:58:15.679606
422,2515,savings,39308.88,2023-07-10 08:08:16.058225
423,451,checking,26463.83,2023-08-10 01:35:12.897059
424,1537,checking,38954.43,2024-08-28 06:15:43.307014
425,3905,checking,12774.99,2023-07-14 17:56:41.099034
426,684,savings,13468.71,2023-06-15 02:35:58.635677
427,3169,savings,13192.51,2023-11-18 04:58:28.362040
428,1597,savings,14079.75,2025-06-06 07:37:52.405519
429,723,savings,40988.13,2025-04-22 02:35:08.266443
430,337,checking,49703.38,2026-05-09 05:13:28.691478
431,3133,checking,9424.14,2025-03-05 17:32:22.185668
432,1566,savings,4669.5,2023-12-21 01:00:52.735278
433,352,savings,21235.79,2024-10-17 10:23:26.012982
434,4121,checking,32144.93,2023-11-09 05:29:09.504651
435,2046,savings,8870.95,2024-01-04 09:08:23.000162
436,550,checking,33544.18,2023-11-30 14:20:52.234025
437,654,savings,37176.38,2024-10-09 21:00:12.675021
438,37,savings,44695.05,2023-08-16 22:18:09.312382
439,4926,savings,11497.9,2024-09-29 11:01:46.779369
440,1925,checking,10124.12,2024-05-30 16:33:56.501057
441,4789,checking,23765.5,2025-09-30 17:58:13.864014
442,983,savings,11917.07,2023-08-22 09:44:12.815518
443,2223,savings,43882.2,2026-02-11 03:42:10.070925
444,3389,checking,26075.89,2023-10-03 10:24:49.472434
445,4844,checking,19625.16,2023-10-19 06:32:53.495122
446,1429,checking,4600.41,2025-08-20 16:57:59.166124
447,3172,savings,19065.26,2025-04-30 12:50:40.995563
448,4353,savings,2857.66,2024-05-12 13:26:13.105847
449,3647,savings,15697.05,2026-04-23 10:13:22.178219
450,2421,checking,9302.77,2024-09-23 09:23:02.987141
451,3786,savings,12011.35,2024-04-23 22:57:44.152126
452,3624,checking,6791.63,2023-10-15 12:31:16.283552
453,4966,checking,31114.89,2026-03-03 12:42:54.051545
454,3669,checking,21369.47,2023-09-30 20:05:07.820966
455,209,checking,31934.17,2024-03-28 08:23:49.496571
456,3687,savings,18275.75,2025-11-15 23:51:56.219849
457,115,savings,12709.21,2024-10-17 04:28:23.169398
458,2821,savings,14318.14,2025-03-24 23:49:36.469943
459,3569,savings,3149.98,2023-09-10 10:08:45.565150
460,3353,checking,27503.32,2025-06-13 05:26:28.205646
461,36,savings,28350.44,2023-06-28 01:35:29.257035
462,3575,savings,30995.16,2023-07-25 09:08:02.544630
463,2828,savings,12893.65,2024-08-11 03:04:27.607365
464,955,savings,8785.47,2025-08-07 17:37:56.341198
465,617,savings,7066.23,2025-04-09 11:04:13.723351
466,1270,checking,10966.97,2025-05-27 03:46:29.081942
467,2338,checking,33487.65,2024-07-05 07:34:16.336748
468,1170,savings,29849.53,2024-05-21 00:44:00.174475
469,2595,savings,20994.3,2024-11-13 16:06:03.741356
470,1845,savings,8972.36,2024-09-11 18:27:15.309276
471,456,savings,44701.12,2025-10-08 23:24:31.453859
472,1021,checking,32092.77,2025-08-18 06:09:50.186727
473,3664,savings,23204.68,2024-08-26 05:09:16.198464
474,1036,checking,14753.22,2024-07-16 22:50:39.834782
475,436,savings,31631.71,2026-05-10 12:30:40.440557
476,4311,checking,47649.87,2025-10-26 15:33:12.081305
477,126,checking,6989.91,2026-02-12 19:19:49.446617
478,3434,checking,44032.72,2025-09-05 11:28:43.457721
479,2477,savings,19131.24,2024-10-31 21:57:00.929810
480,3129,savings,4248.83,2024-10-31 12:56:50.633879
481,134,savings,40852.67,2023-06-16 23:56:37.603373
482,366,checking,21470.5,2025-01-20 23:15:56.997679
483,1982,savings,12038.81,2025-04-26 09:30:38.601837
484,1502,savings,31194.97,2024-12-17 08:21:53.168465
485,964,checking,33642.98,2024-03-06 10:09:39.782241
