merchant_id,name,category,risk_level
163,"Pollard, Nelson and Robles",entertainment,low
164,"Reyes, Cox and Foster",grocery,high
165,"Hubbard, Smith and Johnson",utilities,high
166,"Beck, Gutierrez and Johnson",travel,medium
167,Hale Inc,restaurant,high
168,"Kennedy, Thompson and Reid",travel,medium
169,"Reyes, Hall and Schwartz",subscription,high
170,Goodman Group,retail,medium
171,Sims and Sons,subscription,high
172,Alvarez-Massey,health,low
173,"Bentley, Hoover and Reilly",restaurant,high
174,Wolf PLC,entertainment,medium
175,"Lee, Baker and Wiley",travel,medium
176,Lang Ltd,travel,high
177,Bell LLC,retail,medium
178,"Mejia, Gray and Taylor",restaurant,high
179,Gonzalez-Nolan,retail,low
180,"Kelly, Wilkerson and Miller",retail,medium
181,Stewart LLC,subscription,high
182,Torres PLC,health,high
183,"Evans, Schaefer and Reyes",health,medium
184,"Ellis, Greene and Nunez",utilities,high
185,Dominguez Ltd,utilities,high
186,Gross and Sons,restaurant,medium
187,"Holmes, Smith and Greer",retail,high
188,Hernandez-Schneider,grocery,high
189,Allison-Leon,retail,low
190,Ryan-Brown,entertainment,low
191,Oneill-George,restaurant,medium
192,Holland Group,subscription,low
193,"Cooke, Johnson and Marshall",entertainment,high
194,Wells Group,travel,high
195,Bean Inc,subscription,medium
196,Briggs Ltd,health,medium
197,Fox PLC,grocery,low
198,"Cooper, Hill and Taylor",entertainment,high
199,Bryant PLC,health,medium
200,"Smith, Blackwell and Williams",entertainment,medium
